"Date","Payer","Payer_IBAN","Payee","Payee_IBAN","Purpose","Sales_Type","Amount"
2023-01-09,"Family","DE8345305157592519680","Simon Han","DE2368839200353249792","Groceries","Ingoing",578.6
2020-10-08,"Simon Han","DE2368839200353249792","Kaufland","DE6104589911177754624","Groceries","Outgoing",-54.94
2020-12-22,"Simon Han","DE2368839200353249792","KFC","DE8193885221844539392","Dining","Outgoing",-107.35
2022-05-24,"Pension Fund","DE7505232906201853952","Simon Han","DE2368839200353249792","Groceries","Ingoing",2085.19
2020-12-16,"Simon Han","DE2368839200353249792","Charlie","DE8580159108620137472","Personal","Outgoing",-5.21
2022-04-23,"Simon Han","DE2368839200353249792","Four Seasons","DE7355147182941436928","Travel","Outgoing",-192.77
2022-03-21,"Simon Han","DE2368839200353249792","Sparkasse","DE8982621803181245440","Banking","Outgoing",-1575.13
2020-10-06,"Simon Han","DE2368839200353249792","Amazon","DE6910787645960226816","Shopping","Outgoing",-146.65
2021-12-12,"Government","DE6797807568684220416","Simon Han","DE2368839200353249792","Personal","Ingoing",1945.37
2021-07-30,"Simon Han","DE2368839200353249792","Restaurant_Mario","DE2343341396423056384","Dining","Outgoing",-88.44
2020-11-13,"Simon Han","DE2368839200353249792","McDonalds","DE5705264793476089856","Dining","Outgoing",-169.23
2020-03-14,"Family","DE8345305157592519680","Simon Han","DE2368839200353249792","Travel","Ingoing",893.93
2020-06-04,"Simon Han","DE2368839200353249792","Deutsche_Bank","DE3486598019720986624","Banking","Outgoing",-59.58
2022-12-11,"Simon Han","DE2368839200353249792","Real","DE1916702302871271936","Groceries","Outgoing",-6.8
2020-05-30,"Simon Han","DE2368839200353249792","Four Seasons","DE7355147182941436928","Travel","Outgoing",-711.09
2020-09-27,"Simon Han","DE2368839200353249792","Hotpot Xinjiang","DE1278202277142554624","Dining","Outgoing",-173
2020-06-15,"Simon Han","DE2368839200353249792","Tonkatsu","DE6049314683768898560","Dining","Outgoing",-68.57
2022-01-02,"Simon Han","DE2368839200353249792","Restaurant_Peking","DE7794543753145263104","Dining","Outgoing",-71.34
2022-04-02,"Marta Peregrin","DE7194537753937766400","Simon Han","DE2368839200353249792","Groceries","Ingoing",250.11
2021-08-20,"Government","DE6797807568684220416","Simon Han","DE2368839200353249792","Healthcare","Ingoing",1928.46
2021-12-16,"Simon Han","DE2368839200353249792","McDonalds","DE5705264793476089856","Dining","Outgoing",-7.33
2023-08-17,"Simon Han","DE2368839200353249792","Vueling","DE9057273870101198848","Travel","Outgoing",-131.41
2021-07-25,"Simon Han","DE2368839200353249792","KFC","DE8193885221844539392","Dining","Outgoing",-118.73
2020-09-07,"Marta Peregrin","DE7194537753937766400","Simon Han","DE2368839200353249792","Dining","Ingoing",120.88
2022-08-27,"Marta Peregrin","DE7194537753937766400","Simon Han","DE2368839200353249792","Groceries","Ingoing",156.6
2022-08-28,"Simon Han","DE2368839200353249792","MyToys","DE7857086237287148544","Shopping","Outgoing",-173.67
2022-09-27,"Simon Han","DE2368839200353249792","Alte Utting","DE3433274562470615040","Entertainment","Outgoing",-98.63
2021-06-07,"Simon Han","DE2368839200353249792","Four Seasons","DE7355147182941436928","Travel","Outgoing",-365.78
2023-03-02,"Simon Han","DE2368839200353249792","Uber","DE7578213567147031552","Travel","Outgoing",-438.57
2022-12-21,"Simon Han","DE2368839200353249792","Deutsche_Bank","DE3486598019720986624","Banking","Outgoing",-1243.99
2021-09-27,"Lennard Riede","DE2664314786205068288","Simon Han","DE2368839200353249792","Dining","Ingoing",84.76
2023-10-09,"Simon Han","DE2368839200353249792","Lufthansa","DE1322769878897816064","Travel","Outgoing",-554.86
2021-08-30,"Simon Han","DE2368839200353249792","Tonkatsu","DE6049314683768898560","Dining","Outgoing",-115.34
2020-07-11,"Simon Han","DE2368839200353249792","Honest Greens","DE6519649304915219456","Dining","Outgoing",-77.7
2022-10-04,"Simon Han","DE2368839200353249792","Subway","DE9702737620798869504","Dining","Outgoing",-131.72
2022-06-25,"Family","DE8345305157592519680","Simon Han","DE2368839200353249792","Travel","Ingoing",1425.64
2022-11-18,"Simon Han","DE2368839200353249792","Hotel Mama","DE6599609784083440640","Travel","Outgoing",-533.62
2021-04-19,"Simon Han","DE2368839200353249792","Deutsche_Bank","DE3486598019720986624","Banking","Outgoing",-1118.61
2021-04-16,"Pension Fund","DE7505232906201853952","Simon Han","DE2368839200353249792","Travel","Ingoing",2714.68
2020-01-05,"Simon Han","DE2368839200353249792","DKB","DE3576542508555576320","Banking","Outgoing",-703.12
2022-08-19,"Simon Han","DE2368839200353249792","Ritz-Carlton","DE4016011783387511808","Travel","Outgoing",-338.29
2021-02-28,"Simon Han","DE2368839200353249792","Dave","DE8856380065204575232","Personal","Outgoing",-36.3
2023-07-31,"Lennard Riede","DE2664314786205068288","Simon Han","DE2368839200353249792","Dining","Ingoing",451.28
2022-03-25,"Simon Han","DE2368839200353249792","Edeka","DE3057588542811572224","Groceries","Outgoing",-96.86
2023-05-26,"Simon Han","DE2368839200353249792","Commerzbank","DE7603333923500030976","Banking","Outgoing",-932.45
2020-08-07,"Simon Han","DE2368839200353249792","Rossmann","DE4338363948045298688","Healthcare","Outgoing",-28.3
2022-06-05,"Simon Han","DE2368839200353249792","Netto","DE9561831636354326528","Groceries","Outgoing",-31.7
2023-06-28,"Arsenii Vesnovskyi","DE2110123312100768256","Simon Han","DE2368839200353249792","Entertainment","Ingoing",90.19
2022-10-24,"Arsenii Vesnovskyi","DE2110123312100768256","Simon Han","DE2368839200353249792","Dining","Ingoing",427.09
2020-07-10,"Simon Han","DE2368839200353249792","Four Seasons","DE7355147182941436928","Travel","Outgoing",-437.2
2022-06-09,"Pension Fund","DE7505232906201853952","Simon Han","DE2368839200353249792","Dining","Ingoing",2867.55
2022-12-16,"Simon Han","DE2368839200353249792","Angela Merkel","DE9907384504564105216","Personal","Outgoing",-157.26
2021-08-01,"Arsenii Vesnovskyi","DE2110123312100768256","Simon Han","DE2368839200353249792","Banking","Ingoing",378.46
2021-12-25,"Simon Han","DE2368839200353249792","Hotpot Xinjiang","DE1278202277142554624","Dining","Outgoing",-9.81
2023-11-05,"Simon Han","DE2368839200353249792","KFC","DE8193885221844539392","Dining","Outgoing",-107.77
2021-09-04,"Simon Han","DE2368839200353249792","MyToys","DE7857086237287148544","Shopping","Outgoing",-18.5
2020-08-04,"Simon Han","DE2368839200353249792","Bob","DE5348919193958862848","Personal","Outgoing",-236.43
2020-04-11,"Simon Han","DE2368839200353249792","Trump Tower","DE6512720069382339584","Travel","Outgoing",-463.02
2023-01-20,"Simon Han","DE2368839200353249792","DM","DE4437271451111882752","Healthcare","Outgoing",-12.02
2023-04-01,"Simon Han","DE2368839200353249792","Alice","DE4340492459014057984","Personal","Outgoing",-143.55
2020-01-02,"Simon Han","DE2368839200353249792","Angela Merkel","DE9907384504564105216","Personal","Outgoing",-218.74
2020-10-01,"Simon Han","DE2368839200353249792","Lufthansa","DE1322769878897816064","Travel","Outgoing",-86.5
2020-10-15,"Simon Han","DE2368839200353249792","Bar_Kaschemme","DE9625475594773889024","Entertainment","Outgoing",-143.73
