"Date","Payer","Payer_IBAN","Payee","Payee_IBAN","Purpose","Sales_Type","Amount"
2023-01-09,"Part-time Job","DE6883380299899726848","Marta Peregrin","DE9508558286121115648","Groceries","Ingoing",552.96
2020-10-08,"Marta Peregrin","DE9508558286121115648","Kaufland","DE2359920643735676928","Groceries","Outgoing",-18.97
2020-12-22,"Marta Peregrin","DE9508558286121115648","KFC","DE4807508527534082048","Dining","Outgoing",-33.48
2022-05-24,"Arsenii Vesnovskyi","DE4951961936661972992","Marta Peregrin","DE9508558286121115648","Groceries","Ingoing",208.16
2020-12-16,"Marta Peregrin","DE9508558286121115648","Charlie","DE5663351424038410240","Personal","Outgoing",-71.07
2022-04-23,"Marta Peregrin","DE9508558286121115648","Four Seasons","DE6529687080299482112","Travel","Outgoing",-82.38
2022-03-21,"Marta Peregrin","DE9508558286121115648","Sparkasse","DE2118963466491550208","Banking","Outgoing",-737.7
2020-10-06,"Marta Peregrin","DE9508558286121115648","Amazon","DE4327528062509372928","Shopping","Outgoing",-46.39
2021-12-12,"Marta Peregrin","DE9508558286121115648","Alice","DE7707500817254185984","Personal","Outgoing",-20.64
2021-07-30,"Marta Peregrin","DE9508558286121115648","Restaurant_Mario","DE2713854071917011968","Dining","Outgoing",-74.1
2020-11-13,"Marta Peregrin","DE9508558286121115648","McDonalds","DE2548233042238280192","Dining","Outgoing",-80.91
2020-03-14,"Scholarship Fund","DE9753137744730337280","Marta Peregrin","DE9508558286121115648","Travel","Ingoing",953.42
2020-06-04,"Marta Peregrin","DE9508558286121115648","Deutsche_Bank","DE1515704287216067328","Banking","Outgoing",-824.92
2022-12-11,"Marta Peregrin","DE9508558286121115648","Real","DE5728011834900826112","Groceries","Outgoing",-25.61
2020-05-30,"Marta Peregrin","DE9508558286121115648","Four Seasons","DE6529687080299482112","Travel","Outgoing",-451.78
2020-09-27,"Marta Peregrin","DE9508558286121115648","Hotpot Xinjiang","DE3950539729790761984","Dining","Outgoing",-32.17
2020-06-15,"Marta Peregrin","DE9508558286121115648","Tonkatsu","DE1150303392903879296","Dining","Outgoing",-33.47
2022-01-02,"Marta Peregrin","DE9508558286121115648","Restaurant_Peking","DE7723971013911068672","Dining","Outgoing",-64.53
