"Date","Payer","Payer_IBAN","Payee","Payee_IBAN","Purpose","Sales_Type","Amount"
2023-01-09,"Simon Han","DE7787938415305689088","Lennard Riede","DE8009646109770983424","Groceries","Ingoing",399.71
2020-10-08,"Lennard Riede","DE8009646109770983424","Kaufland","DE1516056163702160128","Groceries","Outgoing",-90.78
2020-12-22,"Arsenii Vesnovskyi","DE4.413237209199e+18","Lennard Riede","DE8009646109770983424","Dining","Ingoing",435.69
2022-05-24,"Arsenii Vesnovskyi","DE4.413237209199e+18","Lennard Riede","DE8009646109770983424","Groceries","Ingoing",318.14
2020-12-16,"Lennard Riede","DE8009646109770983424","Charlie","DE7186295409454032896","Personal","Outgoing",-231.18
2022-04-23,"Lennard Riede","DE8009646109770983424","Four Seasons","DE9620727931847794688","Travel","Outgoing",-1064.05
2022-03-21,"Lennard Riede","DE8009646109770983424","Sparkasse","DE7709803772391751680","Banking","Outgoing",-4873.25
2020-10-06,"Lennard Riede","DE8009646109770983424","Amazon","DE2475814463337883648","Shopping","Outgoing",-279.74
2021-12-12,"Simon Han","DE7787938415305689088","Lennard Riede","DE8009646109770983424","Personal","Ingoing",420.87
2021-07-30,"Lennard Riede","DE8009646109770983424","Restaurant_Mario","DE1389343446586280960","Dining","Outgoing",-148.18
2020-11-13,"Lennard Riede","DE8009646109770983424","McDonalds","DE5577110294718296064","Dining","Outgoing",-321.36
2020-03-14,"Arsenii Vesnovskyi","DE4.413237209199e+18","Lennard Riede","DE8009646109770983424","Travel","Ingoing",22.52
2020-06-04,"Lennard Riede","DE8009646109770983424","Deutsche_Bank","DE9349279863527045120","Banking","Outgoing",-1944.05
2022-12-11,"Lennard Riede","DE8009646109770983424","Real","DE9261144903954118656","Groceries","Outgoing",-140.02
2020-05-30,"Lennard Riede","DE8009646109770983424","Four Seasons","DE9620727931847794688","Travel","Outgoing",-923.29
2020-09-27,"Lennard Riede","DE8009646109770983424","Hotpot Xinjiang","DE1716229070443660032","Dining","Outgoing",-84.75
2020-06-15,"Lennard Riede","DE8009646109770983424","Tonkatsu","DE4622006162069737472","Dining","Outgoing",-72.34
2022-01-02,"Lennard Riede","DE8009646109770983424","Restaurant_Peking","DE1168384937103837696","Dining","Outgoing",-248.18
2022-04-02,"Simon Han","DE7787938415305689088","Lennard Riede","DE8009646109770983424","Groceries","Ingoing",332.48
2021-08-20,"Simon Han","DE7787938415305689088","Lennard Riede","DE8009646109770983424","Healthcare","Ingoing",216.32
2021-12-16,"Lennard Riede","DE8009646109770983424","McDonalds","DE5577110294718296064","Dining","Outgoing",-221.44
2023-08-17,"Lennard Riede","DE8009646109770983424","Vueling","DE9708145214011891712","Travel","Outgoing",-831.28
2021-07-25,"Lennard Riede","DE8009646109770983424","KFC","DE8470168893923983360","Dining","Outgoing",-197.73
2020-09-07,"Arsenii Vesnovskyi","DE4.413237209199e+18","Lennard Riede","DE8009646109770983424","Dining","Ingoing",425.1
2022-08-27,"Simon Han","DE7787938415305689088","Lennard Riede","DE8009646109770983424","Groceries","Ingoing",131.54
2022-08-28,"Lennard Riede","DE8009646109770983424","MyToys","DE1066679500276222848","Shopping","Outgoing",-279.07
2022-09-27,"Lennard Riede","DE8009646109770983424","Alte Utting","DE1587869273731485184","Entertainment","Outgoing",-128.4
2021-06-07,"Lennard Riede","DE8009646109770983424","Four Seasons","DE9620727931847794688","Travel","Outgoing",-1103.53
2023-03-02,"Lennard Riede","DE8009646109770983424","Uber","DE5480146286776289280","Travel","Outgoing",-1954.05
2022-12-21,"Lennard Riede","DE8009646109770983424","Deutsche_Bank","DE9349279863527045120","Banking","Outgoing",-3018.2
2021-09-27,"Employer","DE4189877253025769984","Lennard Riede","DE8009646109770983424","Dining","Ingoing",4176.4
2023-10-09,"Lennard Riede","DE8009646109770983424","Lufthansa","DE4.701906691771e+18","Travel","Outgoing",-1773.15
2021-08-30,"Lennard Riede","DE8009646109770983424","Tonkatsu","DE4622006162069737472","Dining","Outgoing",-129.82
2020-07-11,"Lennard Riede","DE8009646109770983424","Honest Greens","DE8591475006891414528","Dining","Outgoing",-306.23
2022-10-04,"Lennard Riede","DE8009646109770983424","Subway","DE1801594024756923392","Dining","Outgoing",-38.09
2022-06-25,"Employer","DE4189877253025769984","Lennard Riede","DE8009646109770983424","Travel","Ingoing",4062.52
2022-11-18,"Lennard Riede","DE8009646109770983424","Hotel Mama","DE7296868954319506432","Travel","Outgoing",-259.34
2021-04-19,"Lennard Riede","DE8009646109770983424","Deutsche_Bank","DE9349279863527045120","Banking","Outgoing",-4284.98
2021-04-16,"Marta Peregrin","DE5429096016334369792","Lennard Riede","DE8009646109770983424","Travel","Ingoing",199.7
2020-01-05,"Lennard Riede","DE8009646109770983424","DKB","DE1327239794889464832","Banking","Outgoing",-4399.14
2022-08-19,"Lennard Riede","DE8009646109770983424","Ritz-Carlton","DE6079212687211111424","Travel","Outgoing",-728.2
2021-02-28,"Lennard Riede","DE8009646109770983424","Dave","DE3962830181466415616","Personal","Outgoing",-192.78
2023-07-31,"Simon Han","DE7787938415305689088","Lennard Riede","DE8009646109770983424","Dining","Ingoing",141.64
2022-03-25,"Employer","DE4189877253025769984","Lennard Riede","DE8009646109770983424","Groceries","Ingoing",4475.03
2023-05-26,"Lennard Riede","DE8009646109770983424","Commerzbank","DE8391355767380446208","Banking","Outgoing",-1175.61
2020-08-07,"Lennard Riede","DE8009646109770983424","Rossmann","DE7670982480747625472","Healthcare","Outgoing",-82.7
2022-06-05,"Lennard Riede","DE8009646109770983424","Netto","DE7216051452793181184","Groceries","Outgoing",-90.19
2023-06-28,"Employer","DE4189877253025769984","Lennard Riede","DE8009646109770983424","Entertainment","Ingoing",4739.27
2022-10-24,"Simon Han","DE7787938415305689088","Lennard Riede","DE8009646109770983424","Dining","Ingoing",437.09
2020-07-10,"Lennard Riede","DE8009646109770983424","Four Seasons","DE9620727931847794688","Travel","Outgoing",-1773
